Drill Listing
=============
Drill: .01575  Tool: 1  Feed: 95  Speed: 300
X 2075433  Y 1655433
X 2077362  Y 1661417
X 2076062  Y 1665354
X 2080669  Y 1675433
X 2057500  Y 1695000
X 2048818  Y 1701181
X 2117913  Y 1702086
X 2107500  Y 1675000
X 2113740  Y 1659488
X 2100000  Y 1622500
X 2103818  Y 1605039
X 2107244  Y 1602795
X 2115708  Y 1602637
X 2111653  Y 1602598
X 2097500  Y 1597500
X 2095000  Y 1557500
X 2120000  Y 1530000
X 2119803  Y 1602637
X 2132204  Y 1626732
X 2126220  Y 1627716
X 2130787  Y 1630866
X 2129409  Y 1634881
X 2140393  Y 1668346
X 2135000  Y 1672500
X 2132952  Y 1703582
X 2121062  Y 1705787
X 2125000  Y 1707204
X 2145000  Y 1735000
X 2152500  Y 1712500
X 2152480  Y 1702165
X 2144921  Y 1668385
X 2157322  Y 1613346
X 2146496  Y 1593228
X 2165000  Y 1580000
X 2160000  Y 1562500
X 2160000  Y 1547500
X 2150000  Y 1542500
X 2160000  Y 1542500
X 2155000  Y 1532500
X 2195000  Y 1532500
X 2187500  Y 1605000
X 2218346  Y 1612559
X 2215000  Y 1615000
X 2203110  Y 1617047
X 2204173  Y 1620787
X 2206811  Y 1623740
X 2208976  Y 1626968
X 2203346  Y 1628385
X 2199921  Y 1630354
X 2196811  Y 1632913
X 2177500  Y 1642500
X 2178582  Y 1647007
X 2181771  Y 1649370
X 2177992  Y 1650905
X 2185826  Y 1651220
X 2179960  Y 1663937
X 2202500  Y 1735000
X 2264015  Y 1736141
X 2242500  Y 1730000
X 2219842  Y 1712007
X 2255000  Y 1705000
X 2254409  Y 1666850
X 2251653  Y 1664094
X 2227500  Y 1662500
X 2248897  Y 1661181
X 2246496  Y 1658149
X 2247913  Y 1648031
X 2244960  Y 1645000
X 2252440  Y 1643897
X 2256023  Y 1641732
X 2250393  Y 1634645
X 2220000  Y 1627500
X 2221417  Y 1623740
X 2220000  Y 1605000
X 2227500  Y 1595000
X 2315000  Y 1590000
X 2310000  Y 1595000
X 2302952  Y 1595944
X 2306653  Y 1599409
X 2282500  Y 1600000
X 2277992  Y 1600629
X 2310000  Y 1602500
X 2277952  Y 1612322
X 2285000  Y 1675000
X 2281220  Y 1728385
X 2297500  Y 1732500
X 2322500  Y 1635000

Drill: .02362  Tool: 2  Feed: 197  Speed: 550
X 2055393  Y 1520354 X 2055393  Y 1535708
X 2073503  Y 1520354 X 2073503  Y 1535708

